model,price,transmission,mileage,fuelType,tax,mpg,engineSize,carAge
0,9.268609280100158,1,28760,2,30,55.4,1.4,4
2,10.146394514691288,2,4000,2,145,44.1,1.5,1
8,10.146394514691288,2,7897,0,145,47.9,2.0,1
5,9.648595302907339,0,24744,0,125,56.5,3.0,4
9,9.692766521220475,0,30075,0,160,51.4,2.0,5
0,9.546812608597396,1,12577,2,30,58.9,1.4,3
5,9.75846178048587,0,24421,0,30,61.4,2.0,4
0,9.268609280100158,1,15567,0,0,76.3,1.6,4
3,9.769956159911606,1,15207,2,145,51.4,1.4,2
3,9.615805480084347,1,14864,2,145,52.3,1.4,3
3,10.146394514691288,2,9000,2,145,38.7,2.0,1
3,10.126631103850338,1,5000,2,145,38.7,2.0,1
8,10.341742483467284,2,4264,2,145,33.2,2.0,1
9,10.239959789157341,1,4000,0,145,42.8,2.0,1
9,10.239959789157341,1,4000,2,145,42.2,1.5,1
8,9.975761701406148,1,2721,0,145,49.6,1.6,1
8,10.165851817003619,2,4000,2,145,42.2,1.5,1
10,10.308952660644293,2,49649,0,235,42.2,3.0,4
3,9.740968623038354,1,14068,2,145,51.4,1.4,3
3,9.581903928408666,1,23092,2,145,52.3,1.4,3
9,9.769956159911606,0,30682,0,160,50.4,2.0,3
0,9.259130536145614,1,18272,2,0,67.3,1.0,4
8,9.602382459752207,0,23714,0,145,68.9,1.6,3
5,9.392661928770137,0,71311,0,30,61.4,2.0,4
5,9.998797732340453,0,29477,0,145,61.4,2.0,2
10,9.786953736280177,0,60551,0,200,47.1,2.0,4
5,9.893437216682626,0,42071,0,30,61.4,2.0,3
6,9.878169744551839,0,55774,0,235,44.8,3.0,6
0,9.190137664658664,1,36462,0,0,76.3,1.6,4
2,9.648595302907339,1,25376,2,30,57.6,1.4,4
3,9.72913416539135,0,39388,0,145,67.3,2.0,3
2,9.350102314351341,1,64207,0,20,67.3,2.0,3
0,9.400960731584833,1,49221,2,145,55.4,1.4,3
0,9.449357272446683,1,27179,0,0,76.3,1.6,3
3,9.367344120785848,1,31376,0,125,58.9,2.0,6
4,9.350102314351341,0,62668,0,145,53.3,2.0,5
3,9.764225485202621,1,10001,2,145,51.4,1.4,3
5,9.680344001221918,0,52544,0,30,61.4,2.0,4
3,9.480367509189243,1,63097,2,125,49.6,2.0,4
5,9.595602772766828,1,72967,0,30,61.4,2.0,4
4,9.957028319464158,0,32771,0,145,70.6,2.0,3
9,10.102338411281293,0,13303,2,145,40.4,2.0,2
2,9.838949031398556,1,2752,2,145,44.8,1.5,1
9,9.711115659888671,1,23307,0,160,49.6,2.0,4
0,9.305650551780507,1,34551,2,150,67.3,1.0,3
2,9.503009985939002,1,25457,0,150,68.9,1.6,3
8,9.903487552536127,1,12167,2,150,50.4,1.4,2
5,9.642122788401721,0,23237,0,20,67.3,2.0,5
9,9.648595302907339,0,11863,0,160,50.4,2.0,4
3,9.602382459752207,1,21225,0,145,72.4,2.0,3
5,9.746833742490752,0,32083,0,30,61.4,2.0,5
10,10.156189906091882,0,17039,0,145,55.4,2.0,3
3,9.371608519572305,1,72026,0,0,74.3,2.0,4
0,9.323669057283185,1,34824,2,0,67.3,1.0,3
0,9.457200449907708,1,20351,2,30,55.4,1.4,3
3,9.680344001221918,0,58028,2,145,52.3,2.0,3
4,9.903487552536127,0,44783,0,145,62.8,2.0,3
3,9.388486557359657,1,60604,0,20,67.3,2.0,6
3,9.148464968258095,1,39998,0,30,65.7,2.0,7
3,9.903487552536127,0,20852,0,30,65.7,2.0,3
5,9.495519314209846,1,79728,0,30,64.2,2.0,4
5,9.825526011066415,0,29095,0,20,64.2,2.0,3
2,9.02401079378469,1,98940,0,0,74.3,1.6,7
0,9.51044496442652,1,22780,2,30,58.9,1.4,4
4,9.893437216682626,1,20832,2,150,47.1,2.0,2
9,9.642122788401721,0,29196,0,145,55.4,2.0,4
3,9.539644119118783,1,14392,2,145,53.3,1.4,3
3,9.655026193237628,1,20070,2,145,52.3,1.4,2
5,9.692766521220475,0,89334,0,30,62.8,3.0,4
0,9.268609280100158,1,21428,2,0,67.3,1.0,4
3,9.568014816247999,1,45485,0,20,70.6,2.0,4
9,9.595602772766828,1,32704,0,30,60.1,2.0,4
9,9.857443614034722,0,42209,2,145,42.2,2.0,2
3,9.803667217253917,1,17278,2,145,48.7,1.4,3
0,9.341368634382587,1,29515,2,0,67.3,1.0,3
2,9.358760377094455,1,43662,0,20,67.3,2.0,6
3,9.75846178048587,0,45225,0,145,62.8,2.0,3
5,9.70503661381229,1,45491,0,30,61.4,2.0,3
10,9.746833742490752,1,52267,2,235,37.7,2.0,6
2,9.349928386183237,2,40807,2,125,50.4,1.8,6
9,9.36717316600297,1,65959,0,160,49.6,2.0,6
10,9.852088989450127,2,47648,2,260,35.8,2.0,6
10,10.146355296698067,2,27948,2,145,40.9,2.0,3
3,9.258940041812245,1,31169,2,145,49.6,1.8,7
3,9.158836529109067,0,42011,2,145,47.1,2.0,7
5,9.903387547535795,2,56115,0,160,50.4,3.0,5
5,9.729015110685573,2,65835,0,125,61.4,2.0,5
5,10.085725772524334,2,63383,0,145,45.6,3.0,3
10,10.518619136111335,2,34011,2,145,34.0,3.0,3
4,9.546669741249485,2,52132,0,160,49.6,3.0,6
3,9.680031452383618,1,38787,0,145,55.4,2.0,5
0,9.510074525452104,1,34554,2,150,55.4,1.4,3
10,10.341258495396207,2,17502,2,145,40.4,2.0,3
25,10.291636938434605,0,3000,2,145,40.9,2.0,1
5,9.740085880594684,1,34646,0,30,61.4,2.0,5
10,10.184333813978627,2,18000,0,150,56.5,2.0,3
9,10.085183913936165,2,17085,2,150,47.9,1.4,2
0,9.432283202713874,1,48166,0,20,72.4,1.6,3
10,10.020603699204807,2,38421,0,205,47.1,2.0,5
4,9.710994440420677,1,46637,0,30,61.4,2.0,5
2,9.392495248213038,1,24468,0,0,74.3,1.6,4
10,10.126030923778305,0,29343,0,200,47.1,2.0,3
2,9.797293356129725,1,8449,0,145,51.4,1.6,1
4,9.927448189980971,1,34679,0,30,65.7,2.0,3
2,9.740085880594684,2,23860,2,145,60.1,1.0,2
3,10.341258495396207,0,21009,2,145,35.8,3.0,2
5,10.30845253560261,0,1881,0,145,47.9,2.0,1
5,10.23942393132546,2,688,0,145,47.9,2.0,1
5,10.341258495396207,0,1863,0,145,47.9,2.0,1
11,11.050651881786404,2,10,0,145,33.2,3.0,0
17,10.714084379851219,2,49050,2,325,29.4,4.0,4
3,10.274533733773833,2,1024,2,145,38.7,2.0,1
3,10.126030923778305,2,448,2,145,39.8,2.0,1
3,10.203036435052743,2,476,2,145,39.2,2.0,1
6,10.59625966276599,0,5201,0,145,38.7,3.0,1
2,9.99811568161491,2,2028,2,145,42.2,1.5,1
5,10.725137880256161,0,3241,0,145,39.2,3.0,1
10,10.433674529780738,0,355,0,145,39.2,2.0,1
4,10.274533733773833,0,18,2,145,39.8,2.0,1
2,10.30845253560261,0,3122,2,145,41.5,1.5,1
8,10.274533733773833,1,824,2,145,40.9,1.5,1
5,10.373022321884237,2,2811,0,145,47.9,2.0,1
5,10.373022321884237,2,27,0,145,50.4,2.0,1
3,10.291636938434605,2,4254,2,145,38.2,2.0,1
0,9.797293356129725,2,2252,2,145,48.7,1.0,1
8,9.951563175767692,0,3422,0,145,47.9,1.6,1
8,10.072597215357852,0,37,0,145,47.9,1.6,1
3,10.23942393132546,2,7299,2,145,38.2,2.0,1
8,10.23942393132546,2,1414,2,145,40.9,1.5,1
10,10.518267704021968,0,5135,0,145,38.2,2.0,1
10,10.544946623937323,0,6024,0,145,38.2,2.0,1
10,10.544946623937323,2,10,2,145,32.1,2.0,0
11,10.819478239401281,0,10,0,145,33.2,3.0,1
11,11.002016504398489,0,10,0,145,33.2,3.0,1
10,10.776766393816992,2,10,2,145,30.7,2.0,0
3,10.373022321884237,2,10,2,145,42.2,2.0,0
11,10.30845253560261,0,47606,0,200,47.9,3.0,5
0,9.432283202713874,2,26625,2,30,57.6,1.4,5
4,10.126030923778305,0,5071,2,145,50.4,2.0,2
4,9.99811568161491,2,28011,2,260,34.9,3.0,5
9,10.462674677179997,0,10,0,145,47.1,2.0,1
4,10.30845253560261,0,10,0,145,51.4,2.0,1
9,10.448279725865392,0,10,0,145,47.1,2.0,1
0,9.887612203377838,1,10,2,145,49.6,1.0,1
3,10.462674677179997,0,10,0,145,53.3,2.0,1
6,10.689327855026217,2,10,0,145,38.2,3.0,1
5,10.488353289010583,0,2000,0,145,47.9,2.0,1
8,10.203036435052743,0,10,2,145,43.5,1.5,1
5,10.757583680817165,0,3510,0,145,36.2,3.0,1
2,10.085183913936165,0,10,2,145,44.8,1.5,1
4,10.274533733773833,0,10,2,145,39.8,2.0,1
4,10.23942393132546,0,1010,2,145,39.8,2.0,1
5,10.274533733773833,2,500,0,145,47.9,2.0,1
3,10.30845253560261,0,10,2,145,42.8,2.0,1
2,9.99857043378282,1,10,0,145,54.3,1.6,1
4,10.373022321884237,0,10,2,145,39.8,2.0,1
4,10.388533723314632,0,10,0,145,51.4,2.0,1
2,9.965757878262252,1,10,0,145,51.4,1.6,1
11,10.950543354289836,0,1510,0,145,33.2,3.0,1
14,10.687046571956325,2,10,2,145,30.1,2.5,1
3,9.825417897114205,2,29845,2,160,45.6,2.0,4
2,9.61547209118311,2,27355,2,160,42.8,1.8,6
3,9.798015919593894,1,20885,0,30,64.2,2.0,4
2,9.30428598481871,0,10534,2,30,56.5,1.2,6
2,9.47231994707559,1,25895,0,20,70.6,2.0,4
0,9.349667437197281,1,32867,2,0,67.3,1.0,4
10,9.814383077453307,2,42793,0,205,47.1,2.0,5
5,9.852088989450127,2,49039,0,160,50.4,3.0,5
8,9.824714871370732,1,22501,0,145,64.2,1.6,3
7,10.570932235743701,0,1420,0,145,50.4,3.0,3
4,10.291636938434605,0,10,2,145,40.4,2.0,1
4,10.04316253460861,2,26939,0,145,62.8,2.0,3
7,9.852088989450127,2,24786,0,205,47.9,3.0,6
3,9.781206917827296,1,18761,2,145,51.4,1.4,3
4,10.239781201782993,0,10,2,145,40.4,2.0,1
9,10.373022321884237,1,10,0,145,42.8,2.0,1
3,10.34158118013602,0,10,2,145,38.7,2.0,1
2,9.852088989450127,2,22295,2,30,56.5,1.4,3
8,9.740674462130217,1,18068,2,145,52.3,1.4,3
2,9.90323752128092,1,25000,2,150,42.2,1.5,2
8,9.581559041355757,1,23043,2,150,55.4,1.0,3
4,9.472550778454295,2,80902,0,125,60.1,2.0,6
3,10.388533723314632,0,10,0,145,50.4,2.0,1
0,9.927448189980971,1,10,2,145,48.7,1.0,1
9,9.836171845251261,1,26474,0,145,52.3,2.0,4
10,9.680218993408767,2,65458,0,235,44.1,3.0,7
25,9.710994440420677,1,34170,2,150,47.1,1.8,2
10,10.373428679828658,2,100,2,145,33.2,2.0,1
9,10.490857463941905,0,650,0,145,47.1,2.0,1
10,10.544946623937323,0,10,0,145,38.2,2.0,1
10,10.373428679828658,2,10,2,145,33.2,2.0,1
3,9.852088989450127,1,2928,2,145,41.5,2.0,1
9,9.87740021777281,1,7157,2,145,51.4,1.4,2
9,9.90323752128092,2,31600,0,160,50.4,2.0,4
11,10.778852117797637,2,46600,0,300,39.2,4.0,4
2,10.064117198461096,1,10,0,145,56.5,2.0,1
4,10.085725772524334,2,14078,2,145,45.6,2.0,2
4,9.798015919593894,1,13312,0,125,57.6,2.0,5
5,10.274533733773833,2,10,0,145,50.4,2.0,2
17,10.736396675471232,2,20982,2,325,29.4,4.0,5
5,10.203406942652387,2,15600,0,145,50.4,2.0,2
5,10.433674529780738,0,5429,0,145,47.9,2.0,1
8,10.341258495396207,0,2710,2,145,40.9,1.5,1
11,10.877764133608936,0,6423,0,145,33.2,3.0,1
0,9.449199779730396,1,11017,2,150,67.3,1.0,3
9,9.758346166866458,1,16908,2,125,51.4,1.4,3
3,9.710994440420677,1,28801,2,125,49.6,2.0,3
3,9.729015110685573,1,23362,2,145,50.4,1.4,3
10,9.680218993408767,1,50025,2,235,37.7,2.0,7
12,11.066403959871696,2,8450,0,145,32.8,3.0,2
5,10.23942393132546,2,1790,0,145,50.4,2.0,2
3,9.87740021777281,2,10,2,145,53.3,1.4,2
3,9.951563175767692,1,10,2,145,52.3,1.4,2
2,10.011669085380657,0,6754,0,145,52.3,1.6,2
9,9.581903928408666,2,35423,0,200,47.9,2.0,6
2,10.126631103850338,2,16703,2,200,41.5,2.0,3
9,9.667765219015058,1,37203,2,125,51.4,1.4,3
2,9.51044496442652,2,44405,0,125,58.9,2.0,7
9,9.392661928770137,1,79389,0,165,50.4,2.0,6
2,9.532423871145296,2,61808,0,125,57.6,2.0,5
0,9.305650551780507,1,10491,2,0,67.3,1.0,4
2,9.90323752128092,1,19000,2,150,49.6,2.0,2
0,9.363061458993847,1,18900,2,0,67.3,1.0,4
2,9.380083146563278,1,50900,0,20,68.9,2.0,6
5,9.433083843269053,1,49000,0,325,29.7,2.0,7
0,9.680031452383618,1,23081,2,235,39.8,2.0,5
11,11.32653564400032,2,826,0,145,29.4,4.0,0
3,10.165467127635536,2,5987,2,145,38.2,2.0,1
5,10.34158118013602,2,2977,0,145,47.9,2.0,1
10,10.462674677179997,0,7573,0,145,39.2,2.0,1
9,10.37333491957356,1,3055,0,145,42.8,2.0,1
3,10.30845253560261,0,22,2,145,38.7,2.0,1
3,10.257132911914496,0,2250,0,145,51.4,2.0,1
10,9.975715186533009,2,20547,0,200,47.1,2.0,4
10,10.401075949520099,0,10,0,145,39.2,2.0,1
4,10.04316253460861,2,18828,2,260,35.8,3.0,4
10,10.491218660339424,2,28,2,145,32.1,2.0,1
11,10.30845253560261,0,38654,0,200,47.9,3.0,4
2,9.710206155505832,1,25764,2,200,40.4,2.0,6
25,9.87740021777281,1,28402,0,30,62.8,2.0,4
0,9.510074525452104,1,17152,2,30,56.5,1.4,5
2,9.61547209118311,1,29775,2,20,60.1,1.4,4
10,10.596509725282923,2,7801,2,145,34.0,3.0,3
10,10.042814617757227,2,60599,0,240,42.8,3.0,5
0,9.433083843269053,1,20670,2,30,57.6,1.4,3
2,10.126030923778305,0,2257,0,145,52.3,1.6,1
2,10.105815964136418,1,4039,0,145,51.4,1.6,1
2,9.710206155505832,1,21241,2,125,52.3,1.4,4
9,9.927448189980971,1,16945,0,160,49.6,2.0,4
3,10.126030923778305,0,18010,2,145,49.6,1.4,2
3,9.90323752128092,2,29653,0,145,62.8,2.0,3
4,9.680344001221918,2,75159,2,260,34.9,3.0,6
9,9.615672137861335,2,33842,0,200,47.9,2.0,6
2,9.546455401949554,1,42977,0,20,67.3,2.0,5
3,10.2396025825095,2,26,0,145,47.9,2.0,1
0,9.392245175273795,1,17454,2,0,67.3,1.0,4
2,9.680031452383618,1,17547,2,150,56.5,1.5,2
2,10.491135318903403,2,314,2,150,34.9,2.0,0
0,9.516721521860449,1,25010,2,30,58.9,1.4,4
5,10.373022321884237,2,3278,0,145,47.9,2.0,1
6,10.403808191656971,0,1285,0,145,39.2,3.0,1
5,10.341258495396207,0,4445,0,145,47.9,2.0,1
3,10.45731519284666,2,6998,2,145,38.2,2.0,0
3,10.615947044128447,2,6746,0,145,45.6,2.0,0
11,10.46296047312364,2,21245,0,205,47.9,3.0,5
3,9.851931065621725,1,27394,0,30,64.2,2.0,3
0,9.47231994707559,1,29283,2,0,67.3,1.0,4
0,9.581559041355757,1,20905,2,30,56.5,1.4,4
0,9.47231994707559,1,24386,2,0,67.3,1.0,3
25,10.12643108384767,2,11621,2,150,42.8,2.0,3
2,9.951563175767692,2,3409,2,145,43.5,1.5,1
10,10.37333491957356,2,30172,0,240,42.2,3.0,4
3,9.546455401949554,1,27016,0,30,62.8,2.0,5
3,10.373022321884237,1,7456,2,145,40.9,2.0,0
5,10.291806501809322,2,20,0,145,55.4,3.0,1
3,9.927936232938437,2,4781,2,150,40.9,2.0,1
9,9.99857043378282,2,40254,2,205,40.4,2.0,4
25,10.12643108384767,2,12320,2,150,40.9,2.0,1
8,10.085600754292345,1,16534,2,150,49.6,1.4,2
9,10.043032079974024,2,20075,2,150,42.2,2.0,3
2,9.680031452383618,1,14401,2,20,60.1,1.0,4
2,9.90323752128092,2,19430,2,145,47.9,2.0,4
15,10.203406942652387,2,28359,2,565,26.4,4.2,7
12,10.819678279409949,2,16385,0,150,33.6,3.0,1
0,9.392245175273795,1,24764,0,0,74.3,1.6,6
0,9.392245175273795,1,26141,2,125,53.3,1.4,6
4,10.527579359655915,2,7532,2,145,39.2,2.0,0
4,10.582890715303813,2,7925,0,145,45.6,2.0,0
4,10.532282861205115,2,7639,2,145,39.8,2.0,0
9,10.418165745617609,2,7914,0,145,48.7,2.0,0
10,10.34158118013602,2,15706,2,145,40.4,2.0,2
3,10.165467127635536,1,4598,2,145,38.2,2.0,1
7,10.571188711764599,2,6588,0,145,48.7,3.0,2
11,10.37333491957356,2,48248,0,205,47.9,3.0,4
2,10.34158118013602,2,4549,2,150,34.5,2.0,1
0,9.851931065621725,1,7564,2,145,51.4,1.0,1
7,10.645305842559727,2,11276,0,145,48.7,3.0,2
3,9.90323752128092,1,20141,0,30,67.3,2.0,4
2,9.740674462130217,1,16555,2,20,60.1,1.4,4
0,9.581559041355757,1,8608,2,145,67.3,1.0,3
9,9.90323752128092,1,18380,2,145,49.6,1.4,3
9,10.085600754292345,2,27136,2,145,40.4,2.0,3
2,9.546455401949554,1,36409,2,20,60.1,1.4,4
5,10.239781201782993,2,35219,0,150,50.4,3.0,3
10,10.43396873396056,2,10252,2,150,40.4,2.0,2
2,9.769384568012647,1,16380,0,145,67.3,1.6,2
2,9.615138591096644,2,30530,0,30,64.2,2.0,5
10,10.34158118013602,2,37129,0,235,42.2,3.0,4
2,9.546455401949554,1,36400,2,20,61.4,1.4,3
11,10.778852117797637,2,8618,0,145,32.8,3.0,2
8,9.99857043378282,1,9634,2,145,50.4,1.4,2
8,9.90323752128092,2,18355,0,145,68.9,1.6,3
10,10.203406942652387,2,28604,2,145,40.9,2.0,3
0,9.680031452383618,1,15187,0,145,76.3,1.6,3
4,9.85166780380633,2,43417,0,160,50.4,2.0,5
7,10.491135318903403,2,12195,0,145,50.4,3.0,2
4,10.239781201782993,2,12686,0,145,58.9,3.0,2
0,10.085600754292345,2,5356,2,145,44.1,1.5,1
3,10.350254540001398,2,7963,2,145,41.5,2.0,0
4,10.499903544136302,2,7423,0,145,51.4,2.0,0
0,9.546455401949554,1,12148,2,145,67.3,1.0,3
10,10.37333491957356,2,44525,0,235,42.2,3.0,4
9,9.825255704266555,1,20952,0,145,55.4,2.0,4
5,10.41900216578825,2,4582,0,145,39.2,3.0,1
10,9.90323752128092,1,36970,0,200,47.9,2.0,6
9,9.79784922051313,1,38244,2,145,49.6,1.4,5
11,10.37333491957356,2,26407,0,200,47.9,3.0,5
8,10.085600754292345,1,6484,0,145,49.6,1.6,1
2,9.952039593118293,1,3325,0,145,49.6,1.6,1
9,10.12643108384767,2,9078,2,145,40.4,2.0,3
0,9.47231994707559,1,22427,2,145,67.3,1.0,3
3,9.61547209118311,2,41755,0,150,53.3,2.0,5
2,9.432683603119623,2,35455,2,30,58.9,1.4,5
2,9.567874946326796,1,14607,2,20,60.1,1.0,3
0,9.349928386183237,1,24952,2,30,55.4,1.4,4
4,9.392495248213038,1,49640,0,30,64.2,2.0,6
9,9.903387547535795,1,21576,2,145,49.6,1.4,3
10,10.239781201782993,2,20870,0,145,55.4,2.0,3
3,9.90323752128092,2,30300,0,30,62.8,2.0,3
9,9.90323752128092,1,22353,0,160,49.6,2.0,4
9,9.90323752128092,2,23205,0,145,55.4,2.0,4
0,9.546455401949554,1,15361,2,30,55.4,1.4,3
5,10.308785980087194,2,8598,0,145,47.9,2.0,1
2,9.902987427494446,2,6000,0,145,52.3,1.6,1
2,9.902987427494446,2,5199,0,145,52.3,1.6,1
0,9.61547209118311,1,15092,2,145,57.7,1.4,2
2,10.5184028848265,2,3059,2,145,43.5,2.0,3
25,10.12643108384767,2,28475,2,200,40.9,2.0,4
2,9.3492323708428,1,35804,2,30,54.3,1.4,7
2,9.825255704266555,1,24000,2,30,60.1,1.4,3
11,10.757690092096862,2,3264,0,145,33.6,3.0,1
2,10.085600754292345,2,2868,0,145,52.3,1.6,1
3,10.2396025825095,2,6541,0,145,47.9,2.0,1
10,10.5184028848265,2,4511,0,145,38.2,2.0,1
9,9.851931065621725,2,27057,2,145,47.9,1.4,3
3,9.471935109664646,1,42185,0,145,55.4,2.0,7
10,9.79784922051313,2,59120,0,200,47.1,2.0,5
4,9.710994440420677,2,41431,0,160,52.3,2.0,4
10,10.373428679828658,2,30,2,145,33.2,2.0,1
10,10.518538047359652,2,5065,0,145,38.2,2.0,1
10,10.518538047359652,2,4638,0,145,38.2,2.0,1
17,10.968112078915977,2,34926,2,325,29.4,4.0,3
8,10.038455412946613,2,4642,0,145,46.3,1.6,2
5,9.740674462130217,2,29558,0,20,67.3,2.0,5
5,10.413252614104797,2,4899,0,145,47.9,2.0,1
2,9.680031452383618,1,17000,2,20,60.1,1.4,3
3,9.952039593118293,2,51204,0,145,56.5,2.0,3
2,9.61547209118311,2,38776,2,30,56.5,1.4,7
9,9.90323752128092,1,21972,2,145,49.6,1.4,3
25,10.596509725282923,2,17648,2,145,34.5,2.5,2
8,10.043032079974024,2,5674,2,145,52.3,1.4,3
4,10.12643108384767,2,22086,0,145,62.8,2.0,3
7,10.596509725282923,2,10090,2,145,37.7,3.0,1
9,9.90323752128092,2,20825,2,145,47.9,1.4,5
0,9.47231994707559,1,20042,2,30,57.6,1.4,5
8,10.028488917698931,1,3657,0,145,49.6,1.6,1
8,10.101026075134943,1,4502,0,145,47.9,1.6,1
3,9.877913301416697,2,31214,0,30,67.3,2.0,3
8,9.902987427494446,1,16414,2,145,50.4,1.4,2
8,9.975575628930383,1,27198,2,145,50.4,1.4,2
2,10.274878680310541,2,17166,2,145,43.5,2.0,2
2,10.20322170601205,2,18283,2,145,44.1,2.0,2
10,10.239781201782993,2,15076,0,145,56.5,2.0,2
10,10.165659490817816,2,29330,0,145,56.5,2.0,3
8,9.90323752128092,1,25520,2,145,50.4,1.4,3
3,10.559296247440706,2,7521,0,145,49.6,2.0,0
6,10.645305842559727,2,933,0,145,45.6,2.0,1
2,9.902987427494446,2,6018,0,145,52.3,1.6,1
2,9.825255704266555,1,11330,2,145,42.8,1.5,1
10,10.43396873396056,2,23478,0,235,42.2,3.0,4
8,9.851931065621725,1,17872,0,145,64.2,1.6,3
4,10.332311050221527,2,4327,2,145,39.8,2.0,1
11,10.781785616900187,2,4813,0,145,33.2,3.0,1
